Date Time,p (mbar),T (degC),Tpot (K),Tdew (degC),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m**3),wv (m/s),max. wv (m/s),wd (deg),rain (mm),raining (s),SWDR (W/m²),PAR (µmol/m²/s),max. PAR (µmol/m²/s),Tlog (degC),CO2 (ppm)
01.07.2023 00:10:00,984.99,15.21,289.61,15.19,99.9,17.31,17.29,0.02,10.99,17.56,1182.04,1.02,1.32,208.1,0,0,0,0,0,27.1,450.3
01.07.2023 00:20:00,985,15.03,289.43,15.03,100,17.11,17.11,0,10.88,17.37,1182.88,0.47,1.11,219.9,0,0,0,0,0,27.05,451
01.07.2023 00:30:00,984.98,14.86,289.26,14.64,98.6,16.92,16.69,0.24,10.61,16.94,1183.74,1.06,1.77,226.7,0,0,0,0,0,26.97,439.4
01.07.2023 00:40:00,984.91,14.91,289.32,14.47,97.2,16.98,16.5,0.48,10.49,16.76,1183.54,1.29,1.89,242.1,0,0,0,0,0,26.87,438.2
01.07.2023 00:50:00,984.92,14.77,289.17,14.46,98,16.83,16.49,0.34,10.48,16.74,1184.13,1.45,2.06,238.6,0,0,0,0,0,26.73,440
01.07.2023 01:00:00,984.93,14.52,288.92,14.41,99.3,16.56,16.44,0.12,10.45,16.69,1185.2,2.27,2.56,239.9,0,0,0,0,0,26.59,448.1
01.07.2023 01:10:00,984.94,14.21,288.61,14.21,100,16.23,16.23,0,10.31,16.48,1186.58,2.33,2.69,235.9,0,0,0,0,0,26.43,451.4
01.07.2023 01:20:00,984.94,14.08,288.48,14.06,99.9,16.09,16.08,0.02,10.22,16.32,1187.19,2.32,2.72,229.2,0,0,0,0,0,26.26,442.7
01.07.2023 01:30:00,984.83,14.19,288.6,14.02,98.9,16.21,16.03,0.18,10.19,16.28,1186.62,1.98,2.59,233,0,0,0,0,0,26.07,439.5
01.07.2023 01:40:00,984.73,14.13,288.55,13.94,98.8,16.14,15.95,0.19,10.14,16.2,1186.79,1.91,2.18,235.6,0,0,0,0,0,25.87,436.6
01.07.2023 01:50:00,984.69,14.06,288.48,13.75,98,16.07,15.75,0.32,10.01,15.99,1187.12,1.9,2.37,233.7,0,0,0,0,0,25.68,435.1
01.07.2023 02:00:00,984.63,13.69,288.11,13.58,99.3,15.69,15.58,0.11,9.9,15.82,1188.66,2.21,2.68,225.8,0,0,0,0,0,25.49,441.2
01.07.2023 02:10:00,984.56,13.6,288.03,13.41,98.8,15.6,15.41,0.19,9.79,15.65,1189.02,2.58,3.28,232.8,0,0,0,0,0,25.3,440.7
01.07.2023 02:20:00,984.55,13.72,288.15,13.36,97.7,15.72,15.36,0.36,9.76,15.6,1188.54,1.88,2.5,229.7,0,0,0,0,0,25.11,438
01.07.2023 02:30:00,984.5,13.61,288.04,13.27,97.8,15.61,15.26,0.34,9.7,15.5,1188.98,1.03,1.71,250.5,0,0,0,0,0,24.92,436.8
01.07.2023 02:40:00,984.51,13.24,287.67,13.13,99.3,15.24,15.13,0.11,9.61,15.37,1190.59,1.52,1.99,251.7,0,0,0,0,0,24.77,439.6
01.07.2023 02:50:00,984.52,12.89,287.32,12.89,100,14.89,14.89,0,9.46,15.12,1192.16,0.79,2.02,230.2,0,0,0,0,0,24.62,443.5
01.07.2023 03:00:00,984.42,12.86,287.3,12.86,100,14.86,14.86,0,9.44,15.1,1192.18,0.84,1.69,232.5,0,0,0,0,0,24.5,451.9
01.07.2023 03:10:00,984.33,12.83,287.27,12.83,100,14.83,14.83,0,9.43,15.07,1192.21,0.51,0.97,256.5,0,0,0,0,0,24.42,457.8
01.07.2023 03:20:00,984.23,12.81,287.26,12.81,100,14.81,14.81,0,9.41,15.05,1192.18,0.83,1.23,223,0,0,0,0,0,24.38,458
01.07.2023 03:30:00,984.16,12.69,287.15,12.69,100,14.7,14.7,0,9.34,14.93,1192.65,0.85,1.46,201.3,0,0,0,0,0,24.39,457.6
01.07.2023 03:40:00,984.12,12.5,286.96,12.5,100,14.51,14.51,0,9.22,14.75,1193.48,0.57,1.02,196,0,0,0,0,0,24.41,454.8
01.07.2023 03:50:00,984.08,12.28,286.74,12.28,100,14.31,14.31,0,9.09,14.54,1194.45,1.18,1.58,231.3,0,0,0,1.2,2.1,24.43,450.4
01.07.2023 04:00:00,984.05,11.89,286.35,11.89,100,13.94,13.94,0,8.86,14.17,1196.21,1.62,2.18,231.2,0,0,0,3.09,4.38,24.42,449.6
01.07.2023 04:10:00,984.02,11.8,286.27,11.8,100,13.86,13.86,0,8.81,14.08,1196.59,1.16,1.73,232.2,0,0,1.42,5.58,7.01,24.37,449.4
01.07.2023 04:20:00,983.99,11.74,286.21,11.74,100,13.8,13.8,0,8.77,14.03,1196.83,1.24,2.21,225,0,0,4.23,9.38,12.46,24.29,451.2
01.07.2023 04:30:00,983.96,11.73,286.2,11.73,100,13.8,13.8,0,8.77,14.02,1196.84,1.26,2.01,206.6,0,0,7.95,16.18,20.35,24.23,451.4
01.07.2023 04:40:00,984,11.68,286.15,11.68,100,13.75,13.75,0,8.74,13.97,1197.12,1.01,1.6,220.2,0,0,13.18,26.57,31.35,24.18,452.2
01.07.2023 04:50:00,984.01,11.62,286.09,11.62,100,13.7,13.7,0,8.7,13.92,1197.41,1.3,1.96,215.1,0,0,18.57,36.49,41.73,24.15,453.4
01.07.2023 05:00:00,984.02,11.6,286.06,11.6,100,13.68,13.68,0,8.69,13.9,1197.52,1.19,1.91,215.3,0,0,27.9,53.83,61.66,24.13,454
01.07.2023 05:10:00,984.03,11.52,285.98,11.52,100,13.61,13.61,0,8.64,13.83,1197.9,1.55,2.12,214.6,0,0,40.72,76.88,92.81,24.13,453.4
01.07.2023 05:20:00,984.05,11.44,285.9,11.44,100,13.53,13.53,0,8.6,13.75,1198.29,1.5,2.15,209.4,0,0,54.27,103.82,131.12,24.14,453.7
01.07.2023 05:30:00,984,11.5,285.97,11.5,100,13.59,13.59,0,8.63,13.81,1197.95,0.93,1.83,192.2,0,0,72.95,136.99,148.61,24.15,453.8
01.07.2023 05:40:00,983.91,11.61,286.08,11.61,100,13.69,13.69,0,8.7,13.91,1197.33,1.64,2.97,181,0,0,80.78,156.99,201.35,24.19,455.7
01.07.2023 05:50:00,983.87,11.71,286.19,11.71,100,13.78,13.78,0,8.76,14,1196.82,1.73,2.61,166.4,0,0,115.09,220.1,266.72,24.25,455.6
01.07.2023 06:00:00,983.81,11.83,286.31,11.83,100,13.89,13.89,0,8.83,14.12,1196.19,2.56,3.64,157,0,70,115.95,229.17,262.6,24.32,453.5
01.07.2023 06:10:00,983.75,11.98,286.47,11.98,100,14.03,14.03,0,8.92,14.26,1195.43,1.95,3.49,181.9,0,0,123.06,228.97,256.18,24.38,454.9
01.07.2023 06:20:00,983.72,12.35,286.84,12.35,100,14.37,14.37,0,9.14,14.61,1193.68,1.44,2.26,154.7,0,0,159.53,285.53,415.86,24.44,455.8
01.07.2023 06:30:00,983.7,12.83,287.33,12.83,100,14.83,14.83,0,9.43,15.08,1191.44,2.28,3.43,168,0,0,230.69,408.93,572.64,24.57,454.8
01.07.2023 06:40:00,983.69,13.37,287.87,13.37,100,15.37,15.37,0,9.77,15.62,1188.94,1.92,3.12,168.4,0,0,256.95,465.05,539.15,24.8,453.4
01.07.2023 06:50:00,983.63,14.15,288.66,13.82,97.9,16.17,15.83,0.34,10.07,16.09,1185.43,1.65,3.06,176.2,0,0,305.69,553.61,602,25.11,453.5
01.07.2023 07:00:00,983.53,14.78,289.3,13.66,93,16.84,15.66,1.18,9.96,15.92,1182.79,2.08,3.11,154.2,0,0,341.94,618.92,641.34,25.53,454
01.07.2023 07:10:00,983.47,15.19,289.72,13.83,91.6,17.29,15.84,1.45,10.08,16.1,1180.95,2.13,3.37,144.3,0,0,350.17,655.38,675.51,26.05,451.7
01.07.2023 07:20:00,983.34,15.55,290.09,14,90.5,17.69,16.01,1.68,10.19,16.28,1179.24,1.99,2.8,155.3,0,0,324.21,616.9,715.19,26.62,448.3
01.07.2023 07:30:00,983.25,16.14,290.69,14.17,88.1,18.37,16.19,2.19,10.3,16.46,1176.65,2.57,3.71,157.8,0,0,387.37,728.04,773.91,27.19,442.7
01.07.2023 07:40:00,983.14,16.81,291.37,14.31,85.2,19.17,16.34,2.84,10.4,16.62,1173.73,2.38,4.2,165.6,0,0,436.61,814.69,851.2,27.73,440.4
01.07.2023 07:50:00,983.07,17.04,291.61,14.15,83.1,19.46,16.17,3.29,10.29,16.45,1172.79,3.53,5.26,161.5,0,0,463.66,873.86,918.78,28.27,438.1
01.07.2023 08:00:00,983.06,17.17,291.74,14.13,82.3,19.62,16.14,3.47,10.28,16.42,1172.27,3.65,5.22,156.3,0,0,498.12,941.75,962.87,28.8,434.8
01.07.2023 08:10:00,982.95,17.51,292.09,14.31,81.5,20.04,16.34,3.71,10.4,16.62,1170.68,2.83,4.2,166.1,0,0,512.7,967.69,1014.96,29.28,432.9
01.07.2023 08:20:00,982.9,18.24,292.83,14.4,78.3,20.99,16.43,4.55,10.46,16.72,1167.64,2.71,4.27,169,0,0,553.61,1039.2,1058.6,29.71,427.8
01.07.2023 08:30:00,982.78,18.94,293.54,13.93,72.66,21.93,15.93,5.99,10.15,16.21,1164.93,3.15,5.78,180.4,0,0,575.45,1084.83,1115.33,30.18,421.7
01.07.2023 08:40:00,982.61,19.34,293.96,13.66,69.66,22.48,15.66,6.82,9.97,15.94,1163.25,3.13,5.59,194.1,0,0,608.2,1147.56,1175.47,30.68,418.5
01.07.2023 08:50:00,982.42,19.64,294.28,13.52,67.77,22.9,15.52,7.38,9.89,15.8,1161.9,3.84,6.26,192.8,0,0,640.74,1210.75,1266.36,31.2,416.7
01.07.2023 09:00:00,982.27,20.08,294.73,12.96,63.55,23.54,14.96,8.58,9.53,15.23,1160.23,4.3,6.29,196.4,0,0,657.42,1243.38,1279.16,31.71,414.2
